imdb_id,domestic_distributor,domestic_opening,budget,mpaa,running_time,genres,domestic_revenue,international_revenue,worldwide_revenue
tt0113041,Walt Disney Studios Motion Pictures,11134978,0,PG,1 hr 46 min,Comedy Family Romance,76594107,0,76594107
tt0113228,Warner Bros.,7797185,0,PG-13,1 hr 41 min,Comedy Romance,71518503,0,71518503
tt0112760,Metro-Goldwyn-Mayer (MGM),2371415,98000000,PG-13,2 hr 4 min,Action Adventure Comedy,10017322,0,10017322
tt0114576,Universal Pictures,4782445,0,R,1 hr 51 min,Action Crime Thriller,20350171,44000000,64350171
tt0112453,Universal Pictures,1519755,0,,1 hr 18 min,Adventure Animation Drama Family History,11348324,766,11349090
tt0112896,Sony Pictures Releasing,2708298,0,PG-13,1 hr 28 min,Comedy Fantasy Horror,10772144,0,10772144
tt0114388,Sony Pictures Releasing,721341,0,PG,2 hr 16 min,Drama Romance,43182776,91400000,134582776
tt0113101,Miramax,427733,0,R,1 hr 38 min,Comedy,4257354,0,4257354
tt0112302,Walt Disney Studios Motion Pictures,3210458,0,PG,1 hr 37 min,Adventure Comedy Drama Family Romance Western,23920048,0,23920048
tt0113845,Sony Pictures Releasing,10608297,0,R,1 hr 50 min,Action Comedy Crime Drama Thriller,35431113,0,35431113
tt0113277,Warner Bros.,8445656,0,R,2 hr 50 min,Action Crime Drama,67436818,120000000,187436818
tt0114885,Twentieth Century Fox,14126927,0,R,2 hr 4 min,Comedy Drama Romance,67052156,14400000,81452156
tt0113189,Metro-Goldwyn-Mayer (MGM),26205007,0,PG-13,2 hr 10 min,Action Adventure Thriller,106429941,245764093,352194034
tt0112346,Sony Pictures Releasing,10014558,0,PG-13,1 hr 54 min,Comedy Drama Romance,60079496,47800000,107879496
tt0112641,Universal Pictures,9946480,0,R,2 hr 58 min,Crime Drama,42512375,73600000,116112375
tt0113987,Walt Disney Studios Motion Pictures,2206506,44000000,R,3 hr 12 min,Biography Drama History,13681765,0,13681765
tt0113497,Sony Pictures Releasing,11084370,65000000,PG,1 hr 44 min,Adventure Comedy Family Fantasy,100499940,162322000,262821940
tt0114709,Walt Disney Studios Motion Pictures,29140617,0,,1 hr 21 min,Adventure Animation Comedy Family Fantasy,223225679,171210907,394436586
tt0112281,Warner Bros.,37804076,0,PG-13,1 hr 30 min,Adventure Comedy Crime,108385533,104000000,212385533
tt0114319,Paramount Pictures,5563259,58000000,PG,2 hr 7 min,Comedy Drama Romance,53672080,24198,53696278
tt0112401,Warner Bros.,9378637,50000000,R,2 hr 13 min,Action Crime Thriller,30303072,0,30303072
tt0114746,Universal Pictures,184776,0,R,2 hr 9 min,Mystery Sci-Fi Thriller,57141459,111698000,168839459
tt0115012,Sony Pictures Classics,209098,0,R,1 hr 48 min,Crime Drama History Romance Thriller,2086101,0,2086101
tt0113442,Warner Bros.,5564147,0,PG,1 hr 41 min,Comedy Family Romance,19474589,0,19474589
tt0112818,Gramercy Pictures (I),118266,0,R,2 hr 2 min,Crime Drama,39363635,0,39363635
tt0114117,Sony Pictures Classics,30986,0,PG,1 hr 43 min,Drama,5269757,0,5269757
tt0112749,Miramax,0,0,PG-13,1 hr 46 min,Drama Thriller,670727,0,670727
tt0114057,Sony Pictures Releasing,29097,0,R,2 hr 3 min,Drama Romance,2844379,0,2844379
tt0112637,Gramercy Pictures (I),151722,0,R,2 hr 1 min,Biography Drama Romance,3242342,0,3242342
tt0114011,New Line Cinema,7440173,0,PG-13,1 hr 42 min,Comedy Drama Romance,27112329,10479345,37591674
tt0112286,Sony Pictures Classics,0,0,,51 min,Adventure Drama Family History,16015639,0,16015639
tt0114952,Sony Pictures Classics,0,0,,50 min,Adventure Romance,15054636,0,15054636
tt0112431,Universal Pictures,8742545,0,,1 hr 31 min,Comedy Drama Family,63658910,190476000,254134910
tt0113161,Metro-Goldwyn-Mayer (MGM),12700007,0,R,1 hr 45 min,Comedy Crime Thriller,72101622,43000000,115101622
tt0112682,Sony Pictures Classics,34348,18000000,R,1 hr 52 min,Adventure Drama Fantasy Sci-Fi,1738611,43139,1782162
tt0113627,Metro-Goldwyn-Mayer (MGM),70864,0,R,1 hr 51 min,Drama Romance,32029928,0,32029928
tt0114168,Walt Disney Studios Motion Pictures,7146973,0,PG-13,1 hr 51 min,Drama Fantasy Mystery Thriller,30862156,0,30862156
tt0112792,Walt Disney Studios Motion Pictures,14931503,0,R,1 hr 39 min,Biography Drama,84919401,94600000,179519401
tt0112722,Warner Bros.,5170522,0,R,2 hr 3 min,Drama Mystery Thriller,32051917,0,32051917
tt0112697,Paramount Pictures,10612443,0,PG-13,1 hr 37 min,Comedy Romance,56631572,222,56694370
tt0113347,Universal Pictures,5790445,0,PG-13,1 hr 57 min,Comedy Drama Romance,23600020,17600000,41200020
tt0114814,Gramercy Pictures (I),645363,6000000,R,1 hr 46 min,Crime Drama Mystery Thriller,23341568,0,23341568
tt0114681,Sony Pictures Releasing,386510,0,R,1 hr 46 min,Comedy Crime Drama Thriller,21284514,434,21286518
tt0114272,Miramax,75514,19000000,R,1 hr 57 min,Biography Drama History Romance,4005941,0,4005941
tt0113158,Miramax,55461,0,R,1 hr 55 min,Drama Music,1110104,0,1110104
tt0113819,Miramax,326494,0,R,1 hr 35 min,Comedy Fantasy Romance,6468498,0,6468498
tt0110877,Miramax,95310,0,PG,1 hr 48 min,Biography Comedy Drama Romance,21848932,49988,21898920
tt0112819,Walt Disney Studios Motion Pictures,7943778,0,R,1 hr 59 min,Action Crime Drama Thriller War,24147179,0,24147179
tt0114279,United Artists,91915,0,R,1 hr 50 min,Drama Sci-Fi War,2684904,63614,2748518
tt0114916,October Films,0,0,R,1 hr 34 min,Drama Romance,919671,0,919671
tt0113321,Paramount Pictures,4007717,0,PG-13,1 hr 43 min,Comedy Drama Romance,17519169,0,17519169
tt0113855,New Line Cinema,23283887,0,PG-13,1 hr 41 min,Action Adventure Fantasy Sci-Fi Thriller,70454098,51741822,122195920
tt0114148,Walt Disney Studios Motion Pictures,2689714,0,G,1 hr 21 min,Adventure Animation Drama Family Musical Romance,141579773,204500000,346079773
tt0114369,New Line Cinema,13949807,33000000,R,2 hr 7 min,Crime Drama Mystery Thriller,100125643,227207916,327333559
tt0112714,,0,0,,1 hr 40 min,Drama Mystery Thriller,0,0,0
tt0109950,,0,0,,1 hr 37 min,Action Drama Thriller,0,0,0
tt0112499,Walt Disney Studios Motion Pictures,4688285,0,PG,1 hr 40 min,Comedy Family Sport,17736619,0,17736619
tt0110299,,0,0,,1 hr 56 min,Comedy Drama,0,0,0
tt0113541,,0,0,,1 hr 29 min,Adventure Comedy Family Fantasy,0,0,0
tt0113419,Paramount Pictures,7716278,0,PG,1 hr 36 min,Drama Family Fantasy,35656131,0,35656131
tt0112445,October Films,0,0,,1 hr 25 min,Drama Family,924940,0,924940
tt0115683,Metro-Goldwyn-Mayer (MGM),4999979,0,PG-13,1 hr 28 min,Comedy,13427615,0,13427615
tt0112744,Miramax,71804,0,R,1 hr 51 min,Drama Thriller,868979,0,868979
tt0115676,Warner Bros.,1131094,0,PG,1 hr 30 min,Comedy Thriller,2042530,0,2042530
tt0116731,Sony Pictures Releasing,8411178,0,R,1 hr 58 min,Crime Drama Thriller,22754725,0,22754725
tt0114753,Miramax,9299,0,PG-13,1 hr 25 min,Comedy Drama,26282,0,26282
tt0116126,Miramax,8112884,0,R,1 hr 29 min,Comedy Crime,20109115,840486,20949601
tt0113118,New Line Cinema,6589341,3500000,R,1 hr 31 min,Comedy Drama,27467564,748354,28215918
tt0115644,New Line Cinema,6117558,0,PG,1 hr 27 min,Drama Romance,19030691,8284836,27315527
tt0113973,Roxie Releasing,14763,0,,1 hr 10 min,Biography Documentary Music,306691,0,306691
tt0113537,Trimark Pictures,19497,0,R,1 hr 36 min,Comedy Drama Romance,718490,0,718490
tt0113149,Miramax,0,0,R,1 hr 44 min,Comedy Drama Romance,1026646,0,1026646
tt0113828,Warner Bros.,0,0,R,2 hr 55 min,Drama History,740048,0,740048
tt0116839,New Line Cinema,1428658,0,PG-13,1 hr 33 min,Action Sci-Fi Thriller,2409225,0,2409225
tt0114367,Sony Pictures Releasing,2904140,0,R,1 hr 48 min,Horror Sci-Fi Thriller,5711695,0,5711695
tt0113010,Warner Bros.,4946332,50000000,R,1 hr 31 min,Action Romance Thriller,11534477,0,11534477
tt0116260,Paramount Pictures,6968044,0,R,1 hr 41 min,Crime Drama Thriller,26877589,0,26877589
tt0118002,Warner Bros.,4656986,0,R,1 hr 36 min,Comedy Crime Romance,10658278,0,10658278
tt0116367,Miramax,10240805,19000000,R,1 hr 48 min,Action Crime Horror,25836616,495,25837169
tt0113862,Walt Disney Studios Motion Pictures,14466,0,PG,2 hr 23 min,Drama Music,82569971,23700000,106269971
tt0113612,Rainbow Releasing,0,0,R,1 hr 48 min,Comedy Drama,801984,0,801984
tt0113283,In Pictures,14321,0,,1 hr 46 min,Biography Documentary,34402,0,34402
